Name,Company,Price,Star_Rating,Number_of_Ratings,Number_of_Reviews,Processor,RAM,Operating_System,Storage,Display,Office,Warranty
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 ...",ASUS,62990,4.3,500,32,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home,512,15.6,N/A,1
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,Acer,28990,4.2,5314,392,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11,512,14,N/A,1
Acer Aspire 15 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15-42 Thin an...,Acer,34990,4.1,2920,306,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,Acer,17990,3.8,6653,591,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Home,256,N/A,N/A,1
Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...,Acer,29990,4,101,14,AMD Ryzen 3 Quad Core Processor,16 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...",ASUS,34990,4.3,2667,160,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Home,512,N/A,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
HP 15 Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd1253TU/ 15-fd1225TU Thin and Light La...,HP,36990,4.2,962,56,Intel Core 3 Processor,8 GB DDR4 RAM,Windows 11 Home,512,15.6,MS Office Home 2024 + MISC PC Game Pass DA 3M,1
Lenovo 100e Chromebook Gen 4 MediaTek MediaTek Kompanio 528 - (4 GB/64 GB EMMC Storage/Chrome OS) 82W0...,Lenovo,10999,3.8,952,80,MediaTek MediaTek Kompanio 528 Processor,4 GB LPDDR4X RAM,Chrome,N/A,11.6,N/A,1
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15 - 4...,Acer,38990,4.1,1468,109,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,ASUS,30990,4.3,1399,94,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Home,512,15.6,Microsoft Office Home 2024 + Microsoft 365 Basic,1
DELL Inspiron 15 MSO'24 with Backlit KB Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Ho...,DELL,66990,4.2,52,1,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
Acer Chromebook Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CB314-3H-C5QE/ CB...,Acer,23990,3.8,2517,176,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Chrome,N/A,N/A,N/A,1
ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) P1503CVA-S71074WS...,ASUS,38990,4.3,3509,301,Intel Core i3 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Home,512,N/A,"Included Software- Microsoft Office Home 2024(includes Word, Excel, PowerPoint, and OneNote) (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee+TM Premium (1 year Validity)",1
Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) A325-42 Thin and Light L...,Acer,28499,4.1,728,91,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
Acer Aspire 3 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,Acer,32990,4.3,3060,231,Intel Core i3 Processor (13th Gen),16 GB DDR4 RAM,Windows 11,512,14,N/A,1
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,MOTOROLA,54990,4.4,1773,194,Intel Core 5 (Series 2) Processor,16 GB DDR5 RAM,64 bit Windows 11,512,14,Office Home 2024,1
"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...",ASUS,49990,4.3,1033,78,Intel Core 5 Processor,16 GB DDR4 RAM,Windows 11 Home,512,15.6,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
Primebook 2 Max (2025) in-Built AI MediaTek Helio G99 (MT8781) - (8 GB/256 GB/Android 15) PBG9915256#4...,Primebook,22990,4.4,112,35,MediaTek Helio G99 (MT8781) Processor,8 GB LPDDR4X RAM,64 bit Android,N/A,15.6,N/A,1
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Light...,Acer,24438,3.9,251,28,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Windows 11,512,15.6,N/A,1
ASUS Chromebook CX1 Intel Celeron Dual Core N4500 - (8 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ04...,ASUS,14999,4.2,14,0,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Chrome,N/A,15.6,N/A,1
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | 15ALC7 ...,Lenovo,33990,4.2,6859,562,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11,512,N/A,Office Home and Student 2021,1
Acer Nitro V AMD Ryzen 5 Hexa Core 6600H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFo...,Acer,59990,4.4,683,55,AMD Ryzen 5 Hexa Core Processor,16 GB DDR5 RAM,64 bit Windows 11,512,N/A,N/A,1
ASUS Expertbook P1 High-performance processor Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Window...,ASUS,51990,4.3,3403,270,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Home,512,N/A,"Included Software- Microsoft Office Home 2024(includes Word, Excel, PowerPoint, and OneNote) (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee+TM Premium (1 year Validity)",1
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...",ASUS,37990,4.3,2667,160,Intel Core i3 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home,512,N/A,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
Lenovo Chromebook MediaTek Kompanio 520 - (8 GB/128 GB EMMC Storage/Chrome OS) 14M868 Thin and Light L...,Lenovo,17999,3.9,3125,268,MediaTek Kompanio 520 Processor,8 GB LPDDR4X RAM,Chrome,N/A,N/A,N/A,1
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 83ER00KSIN Th...,Lenovo,45490,4.2,475,27,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Home,512,N/A,N/A,1
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 ...",ASUS,62990,4.3,500,32,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home,512,15.6,N/A,1
"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...",ASUS,49990,4.3,1033,78,Intel Core 5 Processor,16 GB DDR4 RAM,Windows 11 Home,512,15.6,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (16 GB/1 TB SSD/Windows 11 Home) AL15-41 Thin and Light...,Acer,36990,4.1,2468,190,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,Windows 11,1,15.6,N/A,1
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...",ASUS,34990,4.3,2667,160,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Home,512,N/A,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
HP 15 Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd1253TU/ 15-fd1225TU Thin and Light La...,HP,36990,4.2,962,56,Intel Core 3 Processor,8 GB DDR4 RAM,Windows 11 Home,512,15.6,MS Office Home 2024 + MISC PC Game Pass DA 3M,1
ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60938WS...,ASUS,38990,4.3,3509,301,Intel Core i3 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Home,512,N/A,"Included Software- Microsoft Office Home 2024(includes Word, Excel, PowerPoint, and OneNote) (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee+TM Premium (1 year Validity)",1
Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,Samsung,38990,4.4,8480,830,Intel Core i3 Processor (13th Gen),8 GB LPDDR4X RAM,Windows 11,512,15.6,N/A,1
ASUS Expertbook P1 High-performance processor Intel Core i5 13th Gen 13420H - (32 GB/512 GB SSD/Window...,ASUS,58990,4.3,3403,270,Intel Core i5 Processor (13th Gen),32 GB DDR5 RAM,Windows 11 Home,512,N/A,"Included Software- Microsoft Office Home 2024(includes Word, Excel, PowerPoint, and OneNote) (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee+TM Premium (1 year Validity)",1
Primebook 2 Pro (2025) in-Built AI MediaTek Helio G99 (MT8781) - (8 GB/128 GB/Android 15) PBG9914128#4...,Primebook,18990,4.3,104,33,MediaTek Helio G99 (MT8781) Processor,8 GB LPDDR4X RAM,64 bit Android,N/A,14.1,N/A,1
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,ASUS,30990,4.3,1399,94,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Home,512,15.6,Microsoft Office Home 2024 + Microsoft 365 Basic,1
