Name,Company,Price,Star_Rating,Number_of_Ratings,Number_of_Reviews,Processor,RAM,Operating_System,Storage,Display,Office,Warranty
MSI Modern 14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-439IN /...,MSI,49990,4.3,1614,157,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512,14,N/A,1
MSI Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-1299IN Thin and ...,MSI,42990,4.3,1614,157,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512,14,N/A,1
ASUS Chromebook CX15 Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1505CKA-S70...,ASUS,14999,3.9,59,2,Intel Celeron Dual Core Processor,4 GB LPDDR4X RAM,Chrome,N/A,15.6,N/A,1
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...",ASUS,34990,4.3,2667,160,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Home,512,N/A,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
HP 15 Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd1253TU/ 15-fd1225TU Thin and Light La...,HP,36990,4.2,962,56,Intel Core 3 Processor,8 GB DDR4 RAM,Windows 11 Home,512,15.6,MS Office Home 2024 + MISC PC Game Pass DA 3M,1
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Hom...",DELL,48688,4.2,963,54,Intel Core i5 Processor (13th Gen),8 GB DDR4 RAM,64 bit Windows 11,512,N/A,N/A,1
HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,HP,65990,4.3,452,33,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home,512,15.6,N/A,1
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,ASUS,30990,4.3,1399,94,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Home,512,15.6,Microsoft Office Home 2024 + Microsoft 365 Basic,1
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,MOTOROLA,54990,4.4,1773,194,Intel Core 5 (Series 2) Processor,16 GB DDR5 RAM,64 bit Windows 11,512,14,Office Home 2024,1
Acer Aspire Lite Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) AL15-52 Thin and Li...,Acer,50938,3.8,268,13,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
Lenovo LOQ 2025 Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...,Lenovo,115990,4.4,70,7,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Home,1,N/A,Office Home 2024 + Lenovo AI Now,1
Lenovo Lenovo V15 G3 IAP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 82TTA07RIH ...,Lenovo,46940,4.1,258,26,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
ASUS Vivobook Go 15 Intel Core i3 N305 - (8 GB/512 GB SSD/Windows 11 Home) E1504GA-NJ3321WS Thin and L...,ASUS,30990,3.2,6,0,Intel Core i3 Processor,8 GB DDR4 RAM,Windows 11 Home,512,15.6,Microsoft Office Home 2024 + Microsoft 365 Basic,1
"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...",ASUS,49990,4.3,1033,78,Intel Core 5 Processor,16 GB DDR4 RAM,Windows 11 Home,512,15.6,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
DELL Inspiron 15 MSO'24 with Backlit KB Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Ho...,DELL,66990,4.2,52,1,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ133WS | ...,ASUS,34890,4.2,2521,164,AMD Ryzen 5 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11,512,15.6,N/A,1
HP Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0569TU Thin and Light Laptop,HP,34990,4.3,31,1,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Home,512,15.6,MS Office Home 2024 + MISC PC Game Pass DA 3M,1
ASUS Chromebook CX1 Intel Celeron Dual Core N4500 - (8 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ04...,ASUS,14999,4.2,14,0,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Chrome,N/A,15.6,N/A,1
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | 15ALC7 ...,Lenovo,33990,4.2,6859,562,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11,512,N/A,Office Home and Student 2021,1
MSI Thin A15 AMD Ryzen 7 Octa Core 7735HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,MSI,103990,4.5,22,5,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,Windows 11,1,15.6,N/A,2
MSI Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-1400IN Business L...,MSI,55990,4.4,353,35,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512,14,N/A,1
Lenovo V 14 (2025) Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Pro) V14 Thin and Ligh...,Lenovo,48999,4.6,8,0,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,"Microsoft Office 2021, Windows 11 Pro",512,N/A,N/A,1
Acer Nitro V 15 Intel Core i7 13th Gen - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForc...,Acer,89999,4.3,41,5,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,64 bit Windows 11 Home,512,N/A,N/A,1
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 83ER00KSIN Th...,Lenovo,45490,4.2,475,27,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Home,512,N/A,N/A,1
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 ...",ASUS,62990,4.3,500,32,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home,512,15.6,N/A,1
ASUS Chromebook Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0395 ...,ASUS,24199,3.8,2996,259,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Chrome,N/A,15.6,N/A,1
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,Acer,51299,4.2,3877,306,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...",ASUS,34990,4.3,2667,160,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Home,512,N/A,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
HP 15 Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd1253TU/ 15-fd1225TU Thin and Light La...,HP,36990,4.2,962,56,Intel Core 3 Processor,8 GB DDR4 RAM,Windows 11 Home,512,15.6,MS Office Home 2024 + MISC PC Game Pass DA 3M,1
Acer Predator Neo Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDI...,Acer,102099,4.4,1352,112,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11,1,16,N/A,1
"HP OmniBook 5 Flip with Touchscreen, Backlit Keyboard & MSO'2024, Intel Core i5 13th Gen 1334U - (16 G...",HP,65990,4.2,14,0,Intel Core i5 Processor (13th Gen),16 GB LPDDR5 RAM,Windows 11 Home,512,N/A,MS Office Home 2024 + MISC PC Game Pass DA 3M,1
Lenovo V15 AMD Ryzen 3 Quad Core 7th Gen 7320U - (8 GB/512 GB SSD/Windows 11 Home/1 GB Graphics) V15 G...,Lenovo,30499,4,227,20,AMD Ryzen 3 Quad Core Processor (7th Gen),8 GB DDR5 RAM,64 bit Windows 11,512,N/A,MS OFFICE,1
ASUS (2024) AMD APU Dual Core E1 E1-6010 - (4 GB/500 GB HDD/Windows 11 Home) X540YA-XO547T Laptop,ASUS,21550,3.7,8066,1295,AMD APU Dual Core E1 Processor,4 GB DDR3 RAM,64 bit Windows 11 Home,500,N/A,N/A,1
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,ASUS,30990,4.3,1399,94,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Home,512,15.6,Microsoft Office Home 2024 + Microsoft 365 Basic,1
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,MOTOROLA,54990,4.4,1773,194,Intel Core 5 (Series 2) Processor,16 GB DDR5 RAM,64 bit Windows 11,512,14,Office Home 2024,1
MSI Thin 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,MSI,58990,4.3,1530,116,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512,15.6,N/A,2
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin an...,Lenovo,48490,4.2,2608,131,Intel Core i5 Processor (12th Gen),8 GB LPDDR5 RAM,Windows 11,512,14,N/A,N/A
"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...",ASUS,49990,4.3,1033,78,Intel Core 5 Processor,16 GB DDR4 RAM,Windows 11 Home,512,15.6,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
DELL Inspiron 15 MSO'24 with Backlit KB Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Ho...,DELL,66990,4.2,52,1,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
Acer Aspire 3 (2025) Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) Aspire 3 A325-5...,Acer,48990,4.2,90,6,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,"Microsoft Office 2021, Windows 11 Home",512,N/A,N/A,3
"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...",ASUS,39990,4.3,2667,160,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Home,512,N/A,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
DELL 15 Intel Core i5 1334U - (16 GB/512 GB SSD/Windows 11 Home) 3530 Thin and Light Laptop,DELL,52919,4.1,61,3,Intel Core i5 Processor,16 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
DELL Inspiron 5440 Intel Core i3 (14th Gen) Intel Core 3 100U - (16 GB/512 GB SSD/Windows 11 Home) 544...,DELL,36990,N/A,N/A,N/A,Intel Core i3 Processor,16 GB DDR5 RAM,Windows 11 Home Microsoft Office 2021,512,N/A,N/A,1
ASUS Chromebook CX1 Intel Celeron Dual Core N4500 - (8 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ04...,ASUS,14999,4.2,14,0,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Chrome,N/A,15.6,N/A,1
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | 15ALC7 ...,Lenovo,33990,4.2,6859,562,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11,512,N/A,Office Home and Student 2021,1
HP 15s AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Lap...,HP,32855,4.3,5922,474,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11,512,N/A,"Microsoft Office 2019 & Office 365, HP Documentation, HP BIOS recovery, HP Smart",1
Ultimus APEX Intel Celeron Dual Core 4mm Thin Bezel 180 Degree Hinge - (8 GB/512 GB SSD/Windows 11 Hom...,Ultimus,18490,3.6,71,11,Intel Celeron Dual Core Processor,8 GB LPDDR4 RAM,Pre loaded windows APP,512,N/A,N/A,1
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 83ER00KSIN Th...,Lenovo,45490,4.2,475,27,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Home,512,N/A,N/A,1
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 ...",ASUS,62990,4.3,500,32,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home,512,15.6,N/A,1
Lenovo IdeaPad Slim 1 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15AMN7 Thin and ...,Lenovo,34990,4,417,24,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11,512,N/A,N/A,2
HP G9 SERIES AMD Athlon Dual Core 3050U - (4 GB/256 GB SSD/Windows 11 Home) 255 Thin and Light Laptop,HP,25150,4,87,6,AMD Athlon Dual Core Processor,4 GB DDR4 RAM,Windows 11,256,15.6,N/A,1
DELL 14 (2025) Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Pro) 14 Thin and Light Lapt...,DELL,39499,4.3,166,10,Intel Core i3 Processor (13th Gen),16 GB DDR5 RAM,"Microsoft Office 2021, Windows 11 Pro",512,N/A,N/A,1
MSI Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-1401IN Business L...,MSI,30990,4.2,84,10,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512,14,N/A,1
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...",ASUS,34990,4.3,2667,160,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Home,512,N/A,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
HP 15 Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd1253TU/ 15-fd1225TU Thin and Light La...,HP,36990,4.2,962,56,Intel Core 3 Processor,8 GB DDR4 RAM,Windows 11 Home,512,15.6,MS Office Home 2024 + MISC PC Game Pass DA 3M,1
MSI Thin A15 AMD Ryzen 7 Octa Core 7735HS - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,MSI,111990,4.5,11,1,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,Windows 11,1,15.6,N/A,2
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ324WS Thin...,ASUS,34990,3.7,39,2,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,ASUS,30990,4.3,1399,94,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Home,512,15.6,Microsoft Office Home 2024 + Microsoft 365 Basic,1
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,MOTOROLA,54990,4.4,1773,194,Intel Core 5 (Series 2) Processor,16 GB DDR5 RAM,64 bit Windows 11,512,14,Office Home 2024,1
DELL Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3530 Thin and Light Lap...,DELL,35562,4.2,440,32,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
Lenovo LOQ Essential Intel Core i5 12th Gen 12450HX - (12 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/...,Lenovo,59490,4.2,194,16,Intel Core i5 Processor (12th Gen),12 GB DDR5 RAM,Windows 11 Home,512,15.6,N/A,1
Lenovo IdeaPad Slim 5 Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) 16IRL8 Thin a...,Lenovo,78490,4.2,542,63,Intel Core i5 Processor (13th Gen),16 GB LPDDR5 RAM,Windows 11,512,16,Microsoft Office Home & Student 2021,N/A
Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Ligh...,Acer,25499,4.2,13449,968,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11,512,14,N/A,1
"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...",ASUS,49990,4.3,1033,78,Intel Core 5 Processor,16 GB DDR4 RAM,Windows 11 Home,512,15.6,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
DELL Inspiron 15 MSO'24 with Backlit KB Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Ho...,DELL,66990,4.2,52,1,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
"DELL 14 Plus Next Gen AI PC Backlit Keyboard, Fingerprint reader Intel Core Ultra 5 226V - (16 GB/512 ...",DELL,72990,4.4,190,21,Intel Core Ultra 5 Processor,16 GB LPDDR5X RAM,Windows 11 Home,512,N/A,N/A,1
HP AMD Athlon Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 255 Laptop,HP,27500,4,1153,72,AMD Athlon Dual Core Processor,8 GB LPDDR4 RAM,Windows 11,256,N/A,N/A,1
ASUS Chromebook CX1 Intel Celeron Dual Core N4500 - (8 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ04...,ASUS,14999,4.2,14,0,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Chrome,N/A,15.6,N/A,1
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | 15ALC7 ...,Lenovo,33990,4.2,6859,562,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11,512,N/A,Office Home and Student 2021,1
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...",ASUS,50391,4.2,74,6,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
HP Professional Intel Core i5 13th Gen 1334U Turbo Boost Finger Print - (32 GB/512 GB SSD/Windows 11 P...,HP,56990,3.9,41,7,Intel Core i5 Processor (13th Gen),32 GB DDR4 RAM,"Windows 11 Pro, Microsoft Office 2021 Pro",512,N/A,N/A,1
Lenovo IdeaPad Slim 5 WUXGA IPS Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 16I...,Lenovo,57480,4.2,710,60,Intel Core i5 Processor (12th Gen),16 GB LPDDR5 RAM,Windows 11,512,16,N/A,N/A
MSI Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO-1049IN Business ...,MSI,34990,4.2,84,10,Intel Core i3 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512,15,N/A,1
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 83ER00KSIN Th...,Lenovo,45490,4.2,475,27,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Home,512,N/A,N/A,1
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 ...",ASUS,62990,4.3,500,32,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home,512,15.6,N/A,1
Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Ligh...,Acer,25499,4.2,13449,968,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11,512,14,N/A,1
HP AMD Athlon Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 255 Laptop,HP,27500,4,1153,72,AMD Athlon Dual Core Processor,8 GB LPDDR4 RAM,Windows 11,256,N/A,N/A,1
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...",ASUS,34990,4.3,2667,160,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Home,512,N/A,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
HP 15 Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd1253TU/ 15-fd1225TU Thin and Light La...,HP,36990,4.2,962,56,Intel Core 3 Processor,8 GB DDR4 RAM,Windows 11 Home,512,15.6,MS Office Home 2024 + MISC PC Game Pass DA 3M,1
HP Professional Intel Core i5 13th Gen 1334U Turbo Boost Finger Print - (32 GB/512 GB SSD/Windows 11 P...,HP,56990,3.9,41,7,Intel Core i5 Processor (13th Gen),32 GB DDR4 RAM,"Windows 11 Pro, Microsoft Office 2021 Pro",512,N/A,N/A,1
Lenovo IdeaPad Slim 5 WUXGA IPS Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 16I...,Lenovo,57480,4.2,710,60,Intel Core i5 Processor (12th Gen),16 GB LPDDR5 RAM,Windows 11,512,16,N/A,N/A
ASUS Expertbook Intel Core i5 13th Gen 13420H - (32 GB/512 GB SSD/Windows 11 Home) P1503CVA-S71075WS T...,ASUS,58990,4.2,165,9,Intel Core i5 Processor (13th Gen),32 GB DDR5 RAM,Windows 11 Home,512,N/A,"Microsoft Office Home 2024, Microsoft 365 Basic",1
MSI Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO-1049IN Business ...,MSI,34990,4.2,84,10,Intel Core i3 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512,15,N/A,1
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,ASUS,30990,4.3,1399,94,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Home,512,15.6,Microsoft Office Home 2024 + Microsoft 365 Basic,1
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,CHUWI,18990,3.7,1801,210,Intel Celeron Dual Core Processor (11th Gen),8 GB DDR4 RAM,"WPS Office,  Software",256,N/A,N/A,1
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A315-59-36HE Thin and L...,Acer,33990,4.3,867,59,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512,N/A,N/A,1
Ultimus APEX BOLD N Intel Pentium Quad Core N4200 - (8 GB/256 GB SSD/Windows 11 Home) NU14U9INC54LS-CS...,Ultimus,16490,N/A,N/A,N/A,Intel Pentium Quad Core Processor,8 GB DDR3 RAM,Pre loaded windows APP,256,N/A,N/A,1
DELL Inspiron 15 MSO'24 with Backlit KB Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Ho...,DELL,66990,4.2,52,1,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,MOTOROLA,54990,4.4,1773,194,Intel Core 5 (Series 2) Processor,16 GB DDR5 RAM,64 bit Windows 11,512,14,Office Home 2024,1
HP Laptop Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) 15s-fy5010TU Thin and Light...,HP,37900,4.3,6489,376,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Home,256,N/A,N/A,1
Primebook 4G Android based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Lapt...,Primebook,13490,4.7,22,9,MediaTek MT8788 Processor,4 GB LPDDR4 RAM,64 bit Prime OS,N/A,11.6,"Android App Store, Browser, File Manager, Gallery, Camera, MS Office Free Android, Key Mapping Tool",1
ASUS VivoBook 15 Intel Core i5 8th Gen 8250U - (8 GB/1 TB HDD/Windows 10 Home) X540UA-DM2124T Laptop,ASUS,46700,4.1,1839,235,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10,1,N/A,N/A,1
Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) 15IAU7 Thin and...,Lenovo,37999,4.2,1301,91,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,256,N/A,Microsoft Office Home & Student 2021,N/A
"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...",ASUS,49990,4.3,1033,78,Intel Core 5 Processor,16 GB DDR4 RAM,Windows 11 Home,512,15.6,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
